text,label
win free iphone now,SPAM
meeting tomorrow at 3pm,NOT SPAM
claim your prize today,SPAM
project update attached,NOT SPAM
congratulations you won,SPAM
team lunch on friday,NOT SPAM
limited time offer,SPAM
please review the report,NOT SPAM
get rich quick,SPAM
assignment deadline,NOT SPAM
you have won 1 million,SPAM
can we reschedule the call,NOT SPAM
click here to claim reward,SPAM
minutes of meeting attached,NOT SPAM
urgent action required,SPAM
submit your assignment today,NOT SPAM
lottery winner claim now,SPAM
new policy update,NOT SPAM
make money from home,SPAM
client feedback needed,NOT SPAM
free vacation for you,SPAM
invoice attached for payment,NOT SPAM
you are selected,SPAM
code review by eod,NOT SPAM
buy now 50 percent off,SPAM
password reset required,SPAM
sprint planning meeting,NOT SPAM
earn 50000 per week,SPAM
your document is ready,NOT SPAM
claim free gift card,SPAM
quarterly results attached,NOT SPAM
act now limited seats,SPAM
interview scheduled for tuesday,NOT SPAM
congratulations winner,SPAM
timesheet submission,NOT SPAM
double your money,SPAM
new employee onboarding,NOT SPAM
bank account verification,SPAM
training session tomorrow,NOT SPAM
miracle weight loss,SPAM
budget approval needed,NOT SPAM
